State,Code,Country,Continent
Alabama,AL,USA,North America
Alaska,AK,USA,North America
Arizona,AZ,USA,North America
Arkansas,AR,USA,North America
California,CA,USA,North America
Colorado,CO,USA,North America
Connecticut,CT,USA,North America
Delaware,DE,USA,North America
District of Columbia,DC,USA,North America
Florida,FL,USA,North America
Georgia,GA,USA,North America
Hawaii,HI,USA,North America
Idaho,ID,USA,North America
Illinois,IL,USA,North America
Indiana,IN,USA,North America
Iowa,IA,USA,North America
Kansas,KS,USA,North America
Kentucky,KY,USA,North America
Louisiana,LA,USA,North America
Maine,ME,USA,North America
Maryland,MD,USA,North America
Massachusetts,MA,USA,North America
Michigan,MI,USA,North America
Minnesota,MN,USA,North America
Mississippi,MS,USA,North America
Missouri,MO,USA,North America
Montana,MT,USA,North America
Nebraska,NE,USA,North America
Nevada,NV,USA,North America
New Hampshire,NH,USA,North America
New Jersey,NJ,USA,North America
New Mexico,NM,USA,North America
New York,NY,USA,North America
North Carolina,NC,USA,North America
North Dakota,ND,USA,North America
Ohio,OH,USA,North America
Oklahoma,OK,USA,North America
Oregon,OR,USA,North America
Pennsylvania,PA,USA,North America
Rhode Island,RI,USA,North America
South Carolina,SC,USA,North America
South Dakota,SD,USA,North America
Tennessee,TN,USA,North America
Texas,TX,USA,North America
Utah,UT,USA,North America
Vermont,VT,USA,North America
Virginia,VA,USA,North America
Washington,WA,USA,North America
West Virginia,WV,USA,North America
Wisconsin,WI,USA,North America
Wyoming,WY,USA,North America
Puerto Rico,PR,USA,North America
US Virgin Islands,VI,USA,North America
Dominican Republic,DR,Domincan Republic,North America
