"","Var1","Freq.x","Freq.y","removed"
"1","Connecticut DPH",341,NA,NA
"2","Instituto de Medicina Tropical & Salud Global Universidad Iberoamericana",320,NA,NA
"3","Iwasaki Lab",54,NA,NA
"4","Murphy Medical Association",466,NA,NA
"5","Oak Ridge",1,NA,NA
"6","Tempus",391,NA,NA
"7","UCC (Universidad Central del Caribe)",539,41,498
"8","VA Connecticut Healthcare System",781,NA,NA
"9","VIDOH (Virgin Islands Department of Health)",490,93,397
"10","Yale Clinical Virology Lab",5425,106,5319
"11","Yale Pathology Lab",203,24,179
